#threads latency
1, 31838.2
6, 81185
11, 122133
16, 161642
21, 208237
26, 239646
31, 287796
36, 327340
41, 333281
46, 429227
51, 463453
56, 489247
61, 513677
66, 611550
71, 616740
76, 626480
81, 688303
86, 771140
91, 795153
96, 827053
